,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID GENERALES,,,,,,UBICACIÓN,,,,SUP. MEDIDAS,,,,,DISTRIBUCIÓN,,,,,CONSTRUCTIVO,,,,SERVICIOS,,,,,,EQUIPAMENTO,COMERCIAL,,,,,,,,,
ID,PROPIETARIO,ESTADO,INQUILINO,TIPO DE OPERACIÓN,TIPO DE PROPIEDAD,DEPARTAMENTO,BARRIO,NÚMERO,COMPRA EN SAN JUAN,GPS,SUPERF. TERRENO,SUPERF.CUB.,FRENTE/CONTRF,N DE PISOS,CANT. AMBIENTES,CANT. DORMITORIOS,CANT.BANOS,COCHERA,ASCENSOR/ESCAL,ORIENTACION,PLANO DE ESTR,PLANO MENS,AÑO DE CONST,Nº SUMIN,CLOACAS,CAÑERIA,ELECTRIC,INTERNET,AGUA,CALEF/REFRIG,DNI-PROP,DNI-INQ,PERM/FINAN,N.C,EXPENSAS,MonedaP,PRECIO,MonedaM,Mensual,FECHA PUBLICACIÓN
I-0001,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,1596,https://www.compraensanjuan.com/anuncio_in/2657714/-128205-alquiler-de-local-comercial-en-calle-25-de-mayo-y-matias-zavalla-capital,,35,35,,,1,,1,,,OESTE,,,Menos de 30 años,,,,,,,,,,,,,,,PESOS,600.000,
I-0002,,DISPONIBLE,,ALQUILER,CASA,Rivadavia,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2637404/-128205-alquiler-de-casa-en-b-natania-65-3-dormitorios,,,,,,4,3,1,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,,,PESOS,670.000,27/05/2026
I-0003,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2640059/-128226-alquiler-de-departamento-de-3-dormitorios-6-piso-capital-caseros-y-rivadavia,,,,,,4,3,1,,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,,,PESOS,750.000,02/06/2026
I-0004,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2479576/alquiler-amplio-departamento-3-dormitorios-capital,,,,,,2,3,2,,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,,,PESOS,770.000,03/06/2025
I-0005,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2627390/alquiler-departamento-planta-baja-2-dormitorios-en-capital,,,,,,3,2,1,,,SIN ESPECIFICAR,,,Menos de 30 años,,,,,,,,,,,,,,,PESOS,550.000,04/05/2026
I-0006,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,359,https://www.compraensanjuan.com/anuncio_in/2647172/-128205-alquiler-local-comercial-tucuman-antes-de-sta-fe,,36,36,,,,,1,,,NORTE,,,Menos de 5 años,,,,,,,,,,,,,,,PESOS,650.000,19/06/2026
I-0007,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Santa Lucia,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2655475/-127968-monoambiente-en-alquiler-en-santa-lucia-128205,,,,,,,,1,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,,,PESOS,290.000,14/07/2026
I-0008,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2633823/-127970-alquiler-departamento-1-dormitorio-amoblado-en-capital-sgo-del-estero-antes-laprida,,,,,,2,1,1,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,,,PESOS,550.000,19/05/2026
I-0009,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2616467/-128293-oportunidad-alquiler-loft-amplio-ubicacion-estrategica-128293,,100,100,,,1,,1,1,,SIN ESPECIFICAR,,,Menos de 10 años,,,,,,,,,,,,,,,PESOS,750.000,09/04/2026
I-0010,,DISPONIBLE,,VENTA,DEPARTAMENTO,Santa Lucia,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2636802/-128273-venta-departamento-a-estrenar-en-edificio-san-pablo-santa-lucia,,53,53,,,2,1,1,,,SIN ESPECIFICAR,,,A estrenar,,,,,,,,,,,,,DOLARES,125.000,,,26/05/2026
